Id,Category,Label,Description,color,Image
N03,Nature,"Mediterranean Forests, Woodlands and Scrub","*Main description: Mediterranean forests, woodlands, and scrub ecoregions are characterized by hot and dry summers, while winters tend to be cool and moist. Most precipitation arrives during these months. Although the habitat is globally rare, it features an extraordinary biodiversity of uniquely adapted animal and plant species, which can adapt to the stressful conditions of long, hot summers with little rain. Most plants are fire adapted, and dependent on this disturbance for their persistence. The Mediterranean unit of analysis is discontinuous, spread across five continents and 22 countries: Europe and Africa in the Mediterranean Basin, the western United States (California) and Mexico (northwest Baja), South America in central Chile, the cape region of South Africa, and south and southwestern Australia",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N04,Nature,Tundra and High Mountain Habitats,"*Main description: the tundra comprises the vast, nearly level, treeless plains of the arctic regions of Europe, Asia, and North America. It consists of a black mucky soil with a permanently frozen subsoil (permafrost), and has a dominant vegetation of mosses, lichens, herbs, and dwarf shrubs. This unit also includes high mountainous areas above the timber line. However, high mountains are not precisely defined, and for purposes of this Unit, they are defined as mountains greater than 2000 m altitude and above.
*Other UoAs: this unit is distinguished from the cryosphere as being characterized by vegetation cover.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N05,Nature,Tropical and Subtropical Savannas and Grasslands,"*Main description: Tropical and Subtropical Grasslands and Savannas are characterized by rainfall levels between 300-1500 mm per year. However, there may be great variability in soil moisture throughout the year. In general, grasses dominate the species composition of these ecoregions, although scattered trees may be common. Large mammals that have evolved to take advantage of the ample forage typify the biodiversity associated with these habitats.
*Other UoAs: subtropical shrublands (which are included in Olson et al., 2001) are included in UoA7 (Deserts and Xeric shrublands). Some parts of these two units may overlap, as it is common for some areas of the subtropical savannas to be described as xerophytic shrublands.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N06,Nature,Temperate Grasslands,"*Main description: Temperate grasslands occur where seasonal climates and soils favour the dominance of perennial grasses and related life forms. They are distributed mainly in the middle latitudes with differing names across continents. Steppes, prairies, pampas, and veld areas, but also including (semi-) natural (ancient or primary) grasslands and forest-steppes, wood-pastures, “temperate savannas” and open shrublands(?) in the regions of Temperate and Boreal broadleaved, mixed and coniferous forests, Mediterranean regions and of mountains below the timberline, excluding tundra grasslands, subtropical grasslands and savannas, deserts and xeric shrublands, and grasslands above the timberline, and also excluding intensively managed, improved agricultural grasslands.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N07,Nature,Deserts and Xeric Shrublands,...pending,#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N08,Nature,"Wetlands (Peatlands, Mires, Bogs)","*Main description: Wetlands are areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year. Water saturation by groundwater, precipitation, surface waters and ocean tides largely determines how frequently or continually the soil is inundated and develops and the types of plant and animal communities living in and on the soil. Includes natural and constructed permanent forest covered inland marshes and wet meadows (dominated by herbaceous plants), swamps (dominated by shrubs), wooded swamps (dominated by trees), seasonal freshwater wetlands (playa lakes, vernal pools, potholes, marshes), seawater and freshwater tidal swamps and marshes (linked to estuaries or beyond the upper edges of tidal salt marshes where the influence of salt water ends), and unforested mires such as bogs, fens and other peatlands.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N09,Nature,Urban/Semi-Urban,"*Main description: a formal description has not been made, but operationally, we have decided to use the urban land cover class from http://maps.elie.ucl.ac.be/CCI/viewer/. The definition is forthcoming.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N10,Nature,Cultivated Areas,"*Main description: Cultivated systems can be defined as areas in which at least 30% of the landscape is in croplands, shifting cultivation, confined livestock production, or freshwater aquaculture in any year",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N11,Nature,Cryosphere,"*Main description: The cryosphere consists of regions where water exists primarily in a frozen state most of the time, i.e. the polar regions, glaciers and alpine regions. Contains many highly unique habitats / ecosystems such as sea ice, ice shelfs, areas with permafrost, the extreme cold and dry regions of the Antarctica including the Antarctic dry valleys and the sub-glacial/ice sheet lakes (ex. Lake Vostok).",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N12,Nature,Aquaculture Areas,"*Main description: Aquaculture is the farming of aquatic organisms, including fish, molluscs, crustaceans and aquatic plants. Farming implies some form of intervention in the rearing process to enhance production, such as regular stocking, feeding, protection from predators, etc. Farming also implies individual or corporate ownership of the stock being cultivated. Aquatic organisms which are harvested by an individual or corporate body which has owned them throughout their rearing period contribute to aquaculture, while aquatic organisms which are exploitable as a common property resources, with or without appropriate licenses, are the harvest of fisheries. Aquaculture areas are thus any area of land, freshwater or marine water that is used in the production of cultured organisms.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N13,Nature,Inland Surface Waters and Water Bodies/Freshwater,"*Main description: Inland waters are permanent above-ground open fresh or brackish water bodies inland from the coastal zone and areas, including their littoral zones. Includes natural (lakes, rivers, streams, springs, water courses, deltas, inland saline systems, and bays nearest to the shore of a nation and are subject to its complete sovereignty) and constructed (reservoirs, ponds, pools) permanent water bodies which support a natural community of both plants and animals. Littoral zones include those parts of banks or shores that are sufficiently frequently inundated to prevent the formation of closed terrestrial vegetation",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N14,Nature,Shelf Ecosystems (Neritic and Intertidal/Littoral Zone),"*Main description: In-shore pelagic and benthic systems extending from the coastline to the 200m depth contour. At the coastal boundary, includes the intertidal/littoral zone to the Mean High Tide Water Line including estuaries to their inner boundary (approx. 5%o, see Wolanski 2007).
*Other UoAs: borders on the open ocean (UoA15) at its outer boundary and may (see*Additional notes/inclusions) touch on the deep ocean (UoA16) in some locations; inshore regions with permanent ice are placed in the cryosphere (UOA11), floating above, or beside, UoA14; freshwater coastal rivers/lakes (UoA13-Inland surface waters and water bodies/freshwater) may form a boundary with estuaries; shelf systems intensively/multiply used by man are separated from this unit into “Hotspots of endemic species” section.
*Additional notes/exceptions/inclusions:
- Inner-shelf depressions (over deepened basins) can be deeper but belong to the shelf (canyons being open to the deep-sea belong to UoA 16). 
- depth may extend to <500 m around Antarctica and Antarctic islands close to the continent, no Sub-Antarctic islands 
- Sub-units of analysis: a) mangrove forests are included as they are in the littoral zone and estuaries (Olds et al 2015, UNEP_WCMC mangrove layer) b) seagrass meadows (Orth et al 2006, UNEP_WCMC seagrass layer) c) tidal flats & salt marshes are in the littoral zone/estuaries (Orth et al 2006, UNEP_WCMC saltmarsh layer) d) rocky and sandy shores incl. tide pools, are in the littoral zone. e) kelp forests (Steneck et al. 2002), f) coral and other biogenic reefs (UNEP_WCMC coral reef layer) g) soft and poorly sorted bottoms incl. over deepened troughs with overlying water body. h) deltas and estuaries - high in population",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N15,Nature,Open Ocean Pelagic Systems (Euphotic Zone),"*Main description:Upper light-flooded (euphotic) layer of the off-shore open ocean beyond the 200-m depth contour on the seabed (beyond 500m in Antarctica), where phytoplankton grow (=Net Primary Production). Its lower limit is the compensation depth roughly at 200m water depth (for scientific definition see e.g. Kaiser et al. 2005).
*Other UoAs:Open ocean pelagic systems (UoA 15) gradually turns to the dark pelagic zones (UoA 16) below and is linked to the deep sea-floor by biogeochemical pelagic-benthic coupling and vertical migration of organisms. The cryosphere (UoA 11) includes ice shelves, but the sea below or adjacent to them falls into UoA15 or UoA16 (according to depth). Also the boundary between upper light-flooded (euphotic) layer of the off-shore open ocean (UoA 15) and the shelf ecosystems (UoA 14) represents gradients in various ecologically relevant environmental parameters rather than discrete transitions.
*Additional notes/exceptions/inclusions:
- Sub-units of analysis: a) central oceanic gyres incl. Sargasso Sea and Antarctic Circumpolar Current (Longhurst 1998), b) High-Nutrient, Low-Chlorophyll systems (World Ocean Assessment 2016, World Ocean Atlas 2009, 2013, SeaWiFS), c) cold ice-covered polar seas (Orsi et al 1995, International Hydrographic Organization 2001), d) upwelling systems including predominantly pelagic Oxygen Minimum Zones, both partly also occur on shelves (UoA 14) and affect the deep sea-floor (UoA 16); Easter Boundary Upwelling: Gómez-Gesteira et al (2008), Capone & Hutchins (2013), equatorial upwelling and at ocean frontal systems: http://www.marinebio.net/marinescience/02ocean/swmovement.htm, http://www.seos-project.eu/modules/oceancurrents/oceancurrents-c04-p04.html, Gordon et al 1977) also in gyres.
- Sub-units of analysis can differ considerably in biodiversity and ecosystem functioning but also partially overlap.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N16,Nature,Deep Sea,"*Main description: Dark off-shore open ocean beyond the 200m depth contour on the seabed (beyond 500m in Antarctica), and greater than 200m deep (500m in Antarctica), below the euphotic zone (UoA 15), including the sea-floor and the dark pelagic zones (e.g. Seibold & Berger 1996, Gage & Tyler 1992, Kaiser et al. 2005, Ramirez-Llodra et al. 2010, Harris et al. 2014).
Boundary between UoA 15 and UoA 16 at approx. 200m is of significant ecological but low physiological relevance since species are specifically adapted to pressure (http://www.marinespecies.org/deepsea/). These two layers are directly linked through pelagic-benthic biogeochemical coupling and vertical migration of pelagic organisms. The cryosphere (UoA 11) includes ice shelves, but the sea below or adjacent to them falls into UoA15 or UoA16 (according to depth).
*Additional notes/exceptions/inclusions:
- Sub-units of analysis: a) slope and rise of continents and islands incl. canyons, 200-2000m and 2000 - 4000m along continents, respectively b) abyssal plains (4000 - 6000m sounding depth) including mid-ocean ridges (usually: 5000-2500m sounding depth; https://pubs.usgs.gov/gip/dynamic/baseball.html https://www.ngdc.noaa.gov/mgg/image/crustageposter.gif and Gubbins 2008, according to crust age. Sub-UoA 16e overlaps with shelf ecosystems (UoA 14), where mid-ocean ridges hit continents. c) vents and seeps (German et al. 2011; rarely also on shelves: UoA 14), d) seamounts (Clark et al. 2010, 2011), e) cold coral reefs (World Ocean Assessment 2016, Freiwald et al. 2004, Roberts et al. 2010; also on shelves: UoA 14 and 17, f) deep-sea trenches (8-45° slopes, 6000 - 11000m sounding depth) g) dark (aphotic) pelagic zone, incl. meso- (20-1000m), bathy (1000-4000m), abyss (4000-6000m), and hado- (6000-11000m) pelagic zones (Kaiser et al. 2005).
- Sub-Units a-f include the bottom-near pelagial (nepheloid layer) and its sub-unit specific processes.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N17,Nature,Coastal Areas Intensively and Multiply Used By Human,"*Main description: This Unit of Analysis is restricted to artificial constructions on the coastline and in coastal waters, focused on physical rather than biological function and attributes. It includes: a) Coastal Defense Schemes: Breakwaters, Groynes and Jetties; b) Coastal Erosion Schemes: Seawalls, Bulkheads; c) infrastructure protection schemes: Pilings; d) Floating docks to create boating facilities; e) artificial islands; f) dumping and mining areas; and g) port development and coastal support facilities (as required by four types of activities: 1) offshore oil and gas development requires port facilities, oil storage capacity, refineries and other infrastructure support; 2) the shipping industry requires channels, port facilities, shipyards and extensive land areas for container storage; 3) fisheries development requires breakwaters, channels, ports, processing plants and other facilities for the fishing fleet; and 4) military operations will require port facilities, infrastructure, and support services).
*Other UoAs:heavily altered and multiply used areas that are focused on biological function for aquaculture are included in UOA 12, Aquaculture areas. There may be some difficulty in separating this UOA from UOA 9, Urban/semi-urban, as many of the structures defined here will be contiguous with UOA9.*Additional notes/exceptions/inclusions: Currently, 2.5 billion people (40% of the world’s population) live within 100 km of the coast, adding increased pressure to coastal areas. The term coastal zone means the coastal waters (including the lands therein and thereunder) and the adjacent shore lands (including the waters therein and thereunder), in proximity to the shorelines of the land includes islands, transitional and inter-tidal areas, salt marshes, wetlands, and beaches (NOAA). The coastal zone is used extensively for a large number of human activities. The shoreline boundary is used for human settlement, agriculture, trade, industry and amenity. The coastal sea is intensively used for transport, fishing, dumping, mining, etc., stemming from an intensification and diversification of ocean uses. There is overexploitation of fishery resources as well as pollution by dumping (Clark, 1991c). Coastal zones are the “sink” for the continents; they receive and concentrate pollutants and other negative consequences of development activities taking place in the hinterlands. Coastal development linked to human settlements, industry, aquaculture, or infrastructure causes severe impacts on coastal areas.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
C01,Nature's Contributions to People,Habitat creation and maintenance,"The formation and continued production, by ecosystems or organisms within them, of ecological conditions necessary or favourable for organisms important to humans. E.g. nesting, feeding, and mating sites for birds and mammals, resting and overwintering areas for migratory mammals, birds and butterflies, nurseries for juvenile stages of fish",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C02,Nature's Contributions to People,Pollination and seed dispersal,"Facilitation by animals of movement of pollen among flowers, and dispersal of seeds, larvae or spores of organisms important to humans",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C03,Nature's Contributions to People,Regulation of air quality,"Regulation (by impediment or facilitation) by ecosystems, of CO2/O2 balance, O3 for UV-B absorption, levels of sulphur oxide, nitrogen oxides (NOx), volatile organic compounds (VOC), particulates, aerosols. 
Filtration, fixation, degradation or storage of pollutants that directly affect human health or infrastructure",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C04,Nature's Contributions to People,Regulation of climate,"Climate regulation by ecosystems (including regulation of global warming) through:
* Positive or negative effects on emissions of greenhouse gases (e.g. biological carbon storage and sequestration; methane emissions from wetlands)
* Positive or negative effects on biophysical feedbacks from vegetation cover to atmosphere, such as those involving albedo, surface roughness, long-wave radiation, evapotranspiration (includingmoisture-recycling)
* Direct and indirect processes involving biogenic volatile organic compounds (BVOC)
* Regulation of aerosols and aerosol precursors",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C05,Nature's Contributions to People,Regulation of ocean acidification,"Regulating, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and so seawater pH, which affects associated calcification processes by many marine organisms important to humans (such as corals)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C06,Nature's Contributions to People,"Regulation of freshwater quantity, flow and timing","Regulation, by ecosystems, of the quantity, location and timing of the flow of surface and groundwater used for drinking, irrigation, transport, hydropower, and as the support of non-material contributions (NCP 15, 16, 17)
Regulation of flow to water-dependent natural habitats that in turn positively or negatively affect people downstream, including via flooding (wetlands including ponds, rivers, lakes, swamps)
Modifying groundwater levels, which can ameliorate dryland salinization in unirrigated landscapes",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C07,Nature's Contributions to People,Regulation of freshwater and coastal water quality,"Regulation – through filtration of particles, pathogens, excess nutrients, and other chemicals – by ecosystems or particular organisms, of the quality of water used directly (e.g. drinking) or indirectly (e.g. aquatic foods, irrigated food and fibre crops, freshwater and coastal habitats of heritage value)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C08,Nature's Contributions to People,"Formation, protection and decontamination of soils","Sediment retention and erosion control, soil formation and maintenance of soil structure and processes (e.g. such as decomposition and nutrient cycling) that underlie the continued fertility of soils important to humans. Filtration, fixation, degradation or storage of chemical and biological pollutants (pathogens, toxics, excess nutrients) in soils and sediments that are important to humans",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C09,Nature's Contributions to People,Regulation of hazards and extreme events,"Amelioration, by ecosystems, of the impacts on humans or their infrastructure caused by e.g. floods, wind, storms, hurricanes, seawater intrusion, tidal waves, heat waves, tsunamis, high noise levels
Reduction, by ecosystems of hazards like landslides, avalanches",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C10,Nature's Contributions to People,Regulation of organisms detrimental to humans,"Regulation, by ecosystems or organisms, of pests, pathogens, predators, competitors, etc. that affect humans, plants and animals, including e.g.:
* Regulation by predators or parasites of the population size of non-harmful important animals (e.g. large herbivore populations by wolves or lions)
* Regulation (by impediment or facilitation) of the abundance or distribution of potentially harmful organisms (e.g. venomous, toxic, allergenic, predators, parasites, competitors, disease vectors and reservoirs) over the landscape or seascape
* Removal of animal carcasses and human corpses by scavengers (e.g. vultures in Zoroastrian and some Tibetan Buddhist traditions)
* Regulation (by impediment or facilitation) of biological impairment and degradation of infrastructure (e.g. damage by pigeons, bats, termites, strangling figs to buildings)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C11,Nature's Contributions to People,Energy,"Production of biomass-based fuels, such as biofuel crops, animal waste, fuelwood, agricultural residue pellets",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C12,Nature's Contributions to People,Food and feed,"Production of food from wild, managed, or domesticated organisms, such as fish, beef, poultry, game, dairy products, edible crops, mushrooms, bushmeat and edible invertebrates, honey, edible wild fruits and tubers
Production of feed for domesticated animals (e.g. livestock, work and support animals, pets) or for aquaculture, from the same sources",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C13,Nature's Contributions to People,Materials and assistance,"Production of materials derived from organisms in crops or wild ecosystems, for construction, clothing, printing, ornamental purposes (e.g. wood, fibres, waxes, paper, resins, dyes, pearls, shells, coral branches).
Direct use of living organisms for decoration (i.e. ornamental plants in parks and households, ornamental fish), company (i.e. pets),transport, and labor (including herding, searching, guidance, guarding)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C14,Nature's Contributions to People,"Medicinal, biochemical and genetic resources","Production of materials derived from organisms (plants, animals, fungi, microbes) used for medicinal and veterinary purposes
Production of genes and genetic information used for plant and animal breeding and biotechnology",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C15,Nature's Contributions to People,Learning and inspiration,"Provision, by landscapes, seascapes, habitats or organisms, of opportunities for the development of the capabilitiesthat allow humans to prosper through education, acquisition of knowledge and development of skills for well-being, scientific information, and inspiration for art and technological design (e.g. biomimicry)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C16,Nature's Contributions to People,Physical and psychological experiences,"Provision, by landscapes, seascapes, habitats or organisms, of opportunities for physically and psychologically beneficial activities, healing, relaxation, recreation, leisure, tourism and aesthetic enjoyment based on the close contact with nature. E.g. hiking, recreational hunting and fishing, birdwatching, snorkeling, gardening",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C17,Nature's Contributions to People,Supporting identities,"Landscapes, seascapes, habitats or organisms being the basis for religious, spiritual, and social-cohesion experiences
Provisioning of opportunities by nature for people to develop a sense of place, purpose, belonging, rootedness or connectedness, associated with different entities of the living world (e. g. cultural and heritage landscapes, sounds, scents and sights associated with childhood experiences, iconic animals, trees or flowers)
Basis for narratives and myths, rituals and celebrations provided by landscapes, seascapes, habitats, species or organisms (e.g. sacred groves, sacred trees, totem animals)
Source of satisfaction derived from knowing that a particular landscapes, seascape, habitat or species exist in the present",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
C18,Nature's Contributions to People,Maintenance of options,"Capacity of ecosystems, habitats, species or genotypes to keep human options open in order to support a later good quality of life. Examples include:
* Benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes
* Future benefits (or threats) derived from keeping options open for yet unknown discoveries and unanticipated uses of particular organisms or ecosystems that already exist (e.g. new medicines or materials)
* Future benefits (or threats) that may be anticipated from on-going biological evolution (e.g. adaptation to a warmer climate, to emergent diseases, development of resistance to antibiotics and other control agents by pathogens and weeds)",#403838,https://www.dropbox.com/s/ys7nu03bexfvy44/NCP.png?raw=1
D01,Driving Forces,Climate: Global Temperature,Increasing global average temperatures and their local/regional modification,#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D02,Driving Forces,Climate: Greenhouse Gas Concentrations,"Increasing atmospheric concentrations of greenhouse gases, in particular CO2, and their direct consequences, such as for instance: 
• sea level rise, 
• ocean acidification, 
• changing temperature and precipitation patterns, 
• destabilisation of weather patterns and 
• changes in the frequency and strength of extreme weather events",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D03,Driving Forces,Pollution (The Level Of ~),"Contamination or undesirable modification of soil, water, the atmosphere, food or living space by a noxious or toxic substance, noise or light. Pollution comprises
• deliberate emissions into an ecosystem such as surplus amounts of agrochemicals into gardens and agro-ecosystems, or de-icing products on roads, affecting soil, ground water and biodiversity,
• spill-over of substances from the target ecosystem (where they may be harmless or useful) to sensitive ecosystems (e.g. run-off from adjacent land areas into limnic or marine ecosystems),
• disposal or deposition of effluents, e.g. industrial pollution of soil, water or air (other than emission of greenhouse gases) or garbage disposal.",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D04,Driving Forces,Land Use Changes (The Intensity Of ~),"Changes in the kind of use, or the intensity of use of terrestrial, limnic and marine ecosystems (e.g. intensification or extensification of agriculture, fishing vs. overfishing) affecting global nature, nature’s contributions to people and a good quality of life in a positive or negative direction. This includes 
* landscape/seascape transformations (transformations into a different kind of ecosystem, causing irreversible or at least significant and long lasting changes to nature, nature’s contributions to people (changes of contributions and of beneficiaries) and a the quality of life); 
* cultivation intensity changes (the kind of use remains basically the same (agriculture, forestry, leisure, etc.), but the use intensity increases or decreases as a direct result of human management decisions); 
* direct exploitation and extraction (as in ecosystem products, surface and ground water resources, etc).",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D05,Driving Forces,Invasive Alien Species (The Number Of ~),"Alterations in the large scale distribution of organisms 
• purposeful introduction of organisms, including those considered invasive (e.g. for leisure or decorational purposes)
• unintentional introduction of species and varieties, including those considered invasive (e.g. dispersion by global trade)
• spread of zoonoses, pathogens, agents of disease 
",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D06,Driving Forces,Economic (The Intensity Of ~ Processes),"All processes of extraction, processing, manufacturing, distributing, transferring (money, investment), exchanging (trade), consuming and disposing goods and services affecting human individuals, social entities and nature, nature’s benefits to people and good quality of life",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D07,Driving Forces,Demographic (Human Population Size),"The population development of humans, including changes of population size and age structure. Relevant parameters for a given population include growth rate, fertility rate, mortality rate, replacement rate; for the overall population development they have to be combined with data on migration patterns and flows (e.g., internal migration, displacement, urbanization trends)",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D08,Driving Forces,Technological (The Rate Of New ~ Innovations),"Technological innovations, i.e. the application of inventions (discoveries and new insights or paradigms) which can have both positive and negative effects on nature, nature’s contributions to people and a good quality of life",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D09,Driving Forces,Governance (The Prevalence Of Participatory ~ Processes),"Formal or informal, multi-stakeholder processes impacting the status quo of societies/communities and the ways in which power and decisions are allocated among their members, affecting nature, nature’s benefits to people and good quality of life.",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D10,Driving Forces,Cultural (The Rate Of ~ Changes),"Cultural drivers include but are not limited to prevailing or changing habits, routines, consumption patterns, behavioural norms, rituals and belief systems shaping humans’ attitude to and interaction with nature, affecting nature’s benefits to people and good quality of life",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
D11,Driving Forces,Health Problems (The Number & Severity Of ~),"Larger-scale epidemics (pandemics), as well as wide-spread (endemic) diseases affecting the good quality of life",#928b8b,https://www.dropbox.com/s/gbwl6bbdn6gflr8/Driving_Forces.png?raw=1
